-,-,S2.9,H.31,S2.441,H.1057,S2.40401,ILATO.56215,H.91507,Unisiegel.397210,S2.4004001,H.9015007
TG,1,0.003315,0.001168,0.000236,0.004653,0.076575,0.132485,0.179593,0.835235,6.94098,16.528
TG,3,0.004521,0.001367,0.003745,0.009485,0.223245,0.381233,0.518769,2.55191,20.6536,49.4013
TG,10,0.001163,0.001981,0.014841,0.020516,0.722714,1.25026,1.7,8.47632,68.981,166.473
TG,30,0.007235,0.003811,0.032282,0.08727,2.16072,3.74065,5.07638,25.4039,207.696,494.677
TG,100,0.006688,0.008426,0.117309,0.200238,7.12326,12.4075,16.7672,85.2188,709.991,1666.94
TG,300,0.012935,0.018321,0.252118,0.580502,21.4874,37.1629,49.6429,256.342,2097.25,
TG,1000,0.024007,0.052126,0.768692,1.87303,70.8928,124.067,167.682,848.892,7040.91,
TG,3000,0.058088,0.154555,2.27589,5.64597,214.075,361.622,501.905,2538.37,,
MG,1,0.004589,0.001951,0.006284,0.008394,0.103577,0.163211,0.25871,1.07191,9.53327,23.5438
MG,3,0.003268,0.004821,0.008081,0.014846,0.300315,0.476855,0.695733,3.2327,28.729,72.0522
MG,10,0.005998,0.003155,0.019063,0.033213,0.981667,1.59544,2.30391,10.8001,94.9346,231.428
MG,30,0.006241,0.009456,0.041386,0.090776,2.92199,4.75925,7.06799,32.5709,285.357,691.896
MG,100,0.009346,0.013831,0.123238,0.303011,9.7041,15.7266,23.0585,107.772,955.664,2225.96
MG,300,0.010946,0.036287,0.348242,0.81878,29.2523,47.1333,69.2758,319.756,2853.09,6770.67
MG,1000,0.029724,0.080646,1.12198,2.74162,96.6276,157.252,231.862,1078.22,9447.96,22798
MG,3000,0.072712,0.236463,3.35018,7.9947,289.886,465.142,660.303,3310.32,28735.5,66471.7
MC,1,,0.321,,0.436,,0.004261,5.073,0.221713,,
MC,3,,0.481,,1.082,,0.009575,8.61,0.268179,,
MC,10,,1.079,,2.44,,0.028106,23.694,0.386666,,
MC,30,,2.557,,6.149,,0.082099,65.962,0.748363,,
MC,100,,6.93,,20.352,,0.267547,215.581,1.982712,,
MC,300,,20.651,,58.878,,0.793881,636.245,5.524979,,
MC,1000,,69.878,,184.361,,2.609975,2105.482,17.932207,,
MC,3000,,201.413,,518.076,,7.791286,6326.357,53.327164,,
