-,-,BS.9,HT.31,BS.441,HT.1057,BS.40401,FS.56215,HT.91507,US.397210,BS.4004001,HT.9015007
-,-,9,31,441,1057,40401,56215,91507,397210,4004001,9015007
MS,1,0.004589,0.001951,0.006284,0.008394,0.103577,0.163211,0.25871,1.07191,9.53327,23.5438
MS,3,0.003268,0.004821,0.008081,0.014846,0.300315,0.476855,0.695733,3.2327,28.729,72.0522
MS,10,0.005998,0.003155,0.019063,0.033213,0.981667,1.59544,2.30391,10.8001,94.9346,231.428
MS,30,0.006241,0.009456,0.041386,0.090776,2.92199,4.75925,7.06799,32.5709,285.357,691.896
MS,100,0.009346,0.013831,0.123238,0.303011,9.7041,15.7266,23.0585,107.772,955.664,2225.96
MS,300,0.010946,0.036287,0.348242,0.81878,29.2523,47.1333,69.2758,319.756,2853.09,6770.67
MS,1000,0.029724,0.080646,1.12198,2.74162,96.6276,157.252,231.862,1078.22,9447.96,22798
MS,3000,0.072712,0.236463,3.35018,7.9947,289.886,465.142,660.303,3310.32,28735.5,66471.7
TS,1,0.003315,0.001168,0.000236,0.004653,0.076575,0.132485,0.179593,0.835235,6.94098,16.528
TS,3,0.004521,0.001367,0.003745,0.009485,0.223245,0.381233,0.518769,2.55191,20.6536,49.4013
TS,10,0.001163,0.001981,0.014841,0.020516,0.722714,1.25026,1.7,8.47632,68.981,166.473
TS,30,0.007235,0.003811,0.032282,0.08727,2.16072,3.74065,5.07638,25.4039,207.696,494.677
TS,100,0.006688,0.008426,0.117309,0.200238,7.12326,12.4075,16.7672,85.2188,709.991,1666.94
TS,300,0.012935,0.018321,0.252118,0.580502,21.4874,37.1629,49.6429,256.342,2097.25,5103.43
TS,1000,0.024007,0.052126,0.768692,1.87303,70.8928,124.067,167.682,848.892,7040.91,
TS,3000,0.058088,0.154555,2.27589,5.64597,214.075,361.622,501.905,2538.37,,
MP,1,0.000335,0.000321,0.000403,0.000436,0.002662,0.004261,0.005073,0.221713,0.154735,
MP,3,0.000253,0.000481,0.000642,0.001082,0.004278,0.009575,0.00861,0.251071,0.316882,
MP,10,0.000829,0.001079,0.001802,0.00244,0.011703,0.028106,0.023694,0.376467,0.913413,
MP,30,0.002452,0.002557,0.004463,0.006149,0.033082,0.082099,0.065962,0.748363,2.567314,
MP,100,0.00681,0.00693,0.013581,0.020352,0.107456,0.267547,0.215581,1.982712,8.390215,
MP,300,0.019951,0.020651,0.03912,0.058878,0.301545,0.793881,0.636245,5.524979,25.120627,
MP,1000,0.06555,0.069878,0.127753,0.184361,0.95442,2.609975,2.105482,17.932207,82.99457,
MP,3000,0.193438,0.201413,0.334701,0.518076,2.796342,7.791286,6.326357,53.327164,248.541469,
