_,hexagonal,total,31,random_circle,total,,square_2tri,total,,square_4tri,total,,ILATO_1A,total,56215,Unisiegel,total,397210
#,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,acquired,acquired,acquired,acquired,acquired,acquired
#,vertices,faces,faces/vertices,vertices,faces,faces/vertices,vertices,faces,faces/vertices,vertices,faces,faces/vertices,vertices,faces,faces/vertices,vertices,faces,faces/vertices
1,,,,,,,,,,,,,1,0,0,1,0,0
3,,,,,,,,,,,,,3,0,0,3,0,0
10,,,,,,,,,,,,,10,0,0,10,0,0
30,,,,,,,,,,,,,30,1,1.77888463933114E-05,30,0,0
100,,,,,,,,,,,,,100,12,0.00021346615672,100,0,0
300,,,,,,,,,,,,,300,176,0.003130836965223,300,0,0
1000,,,,,,,,,,,,,1000,1485,0.026416436894068,1000,0,0
3000,,,,,,,,,,,,,3000,1115,0.019834563728542,3000,0,0
_,hexagonal,total,1057,,,,,,,,,,,,,,,
#,synthetic,synthetic,synthetic,,,,,,,,,,,,,,,
#,vertices,faces,faces/vertices,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,
300,,,,,,,,,,,,,,,,,,
1000,,,,,,,,,,,,,,,,,,
3000,,,,,,,,,,,,,,,,,,
_,hexagonal,total,91507,,,,,,,,,,,,,,,
#,synthetic,synthetic,synthetic,,,,,,,,,,,,,,,
#,vertices,faces,faces/vertices,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,
300,,,,,,,,,,,,,,,,,,
1000,,,,,,,,,,,,,,,,,,
3000,,,,,,,,,,,,,,,,,,
_,hexagonal,total,9015007,,,,,,,,,,,,,,,
#,synthetic,synthetic,synthetic,,,,,,,,,,,,,,,
#,vertices,faces,faces/vertices,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,
300,,,,,,,,,,,,,,,,,,
1000,,,,,,,,,,,,,,,,,,
3000,,,,,,,,,,,,,,,,,,
